郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
懒惰	怠惰,怠慢,懈怠,懒怠,懒散,疏懒
名流	名人,名士,绅士,闻人
惩治	惩办
小窃	扒手,小偷,窃贼
灵榇	灵柩
潦倒穷困	穷困潦倒
大家风范	大将风度
可悲	可叹,可哀
呼天抢地	嚎啕大哭,捶胸顿足
光滑油滑	圆滑,圆通
酷爱	敬爱,热爱,爱好,酷好,亲爱,深嗜
奸商	市侩
五大三粗	彪形大汉
惹火烧身	招灾惹祸,自掘坟墓,自取灭亡,引火烧身
丝毫不爽	谬误百出
猴年马月	遥遥无期
开仗	交战,开战,开火
瑰意琦行	嘉言懿行
来路货	舶来品
偷换	掉包
危害	伤害,危险,妨害,损害,摧残,风险
残	冷炙
莅祚	践祚
恶劣	低劣,卑劣,阴毒,顽劣,恶毒
政界	官场,宦海
刁难	为难,作对,留难
安抚	安慰,宽慰,慰藉,慰问,抚慰
利弊	利害
微风	和风,轻风
睁开	展开
月晦	月终
华夏	中国,中原
迷惑不解	疑惑不解,困惑不解,百思不解
湿润	润湿,潮湿
存候	请安
习俗	习惯,民俗,民风,风俗,风气
邻人	邻居
旋转	回旋,盘旋,转动,扭转
受贿	纳贿
更头	更次
不凡	卓越,超卓,非凡
一馈十起	日理万机
不速之客	不请自来
不准	制止,禁止,阻止,禁绝,不许
柳眉倒竖	杏眼圆睁
坐山观虎斗	坐观成败,鹬蚌相争;渔翁得利,作壁上观
仿制	仿效,仿照,仿造,因袭,模仿,照样
随心所欲	得心应手,为所欲为,力所能及
物品	货品,货物
老当益壮	宝刀未老,返老还童,宝刀不老,老骥伏枥
必不得以	逼不得已
目下当今	现在
庆祝	庆贺,欢庆,祝贺,纪念,致贺,贺喜,道喜,道贺
赞理	襄助
杞人忧天	庸人自扰,怨天尤人
质量	品质,质料,质地
青红皂白	是非曲直,是非黑白
门生	弟子,学生,高足
樊篱	屏障,障蔽
题辞	题词
依稀	模糊
协理	副理,助理,协助,襄助,帮助,襄理
发觉	发现,察觉,觉察,感觉
憩息	休息,休憩,停息,停歇,止息,暂停
药剂师	配药师
亦然	也是
含垢忍辱	委曲求全,忍辱负重,忍气吞声,卧薪尝胆,忍辱含垢,忍尤含诟,坚贞不屈
赐给	赏给
冬装	冬衣
显露表露	流露透露
喜笑颜开	喜气洋洋,眉开眼笑,嬉皮笑脸,喜形于色,笑逐颜开,笑容可掬,欢天喜地,眉飞色舞,嘻皮笑脸
文武双全	允文允武,文武全才,文武兼备,文韬武略
隔世之感	恍如隔世
虎皮	皋比
矍铄	健旺,矫健
践祚	莅祚
酒席	筵席,酒菜
领路	带路,引路
群轻折轴	积羽沉舟
骨瘦如豺	骨瘦如柴
灭火	熄灭
祸害	祸患,祸殃
碰到	碰着,遇到,遭遇
纯粹	纯正,地道,纯洁
敬谨如命	唯命是听
乞丐	叫花子,托钵人
凌虐	摧残,欺侮,欺凌,欺负,残虐,糟蹋,虐待,蹂躏,残害
合用	适用
夜晚	星夜,夜间,晚上,黑夜
缓和	和缓,平静,懈弛,缓解,弛缓,松懈,温和
探问	了解,打听,拜候,拜望,拜访,拜谒,探听,探望,探访,探询,看望,访问,调查
死刑	极刑,死罪
苍老	年迈,衰老
出头露角	出头露面
图画	丹青
不即不离	若即若离,半推半就
三鼓	半夜
假若	倘使,倘若,借使,假使,假如,如果,要是,若是
论争	论战
通亮	明亮
荆钗布裙	粗衣布服
秘本	珍本,孤本
缝扣子	钉扣子
寸男尺女	一男半女
拜别	告别,告辞,离别,离去,辞行
布满	充满
信托	信任,信赖
守望相助	分甘共苦,同心协力,同心同德,风雨同舟,同舟共济,同甘共苦
蠢人	傻瓜,呆子,笨伯,笨蛋
识途老马	老马识途,行家里手
袅袅婷婷	亭亭玉立
送别	欢送,告别,送行
哀感顽艳	哀而不伤
一个钱打二十四个结	精打细算
冲撞	冒犯,冲犯,得罪,触犯,抵触触犯,冲克
战战兢兢	谨小慎微,如履薄冰,小心翼翼,如临深渊,兢兢业业,诚惶诚恐,惊慌失措,不寒而栗
神色	神态,神情,神采,表情,脸色,神气,神志
应有尽有	包罗万象,一应俱全,无所不包,无所不有
琴瑟和谐	比翼双飞,凤凰于飞,夫唱妇随
拨浪鼓	货郎鼓
云汉	天河
意在笔先	意前笔后
将军	将领
财气	财运
行列	队伍,队列
责罚	处分,处罚,惩办,惩处,惩罚
分布	分散,散布,散播,漫衍
焚膏继晷	夜以继日,通宵达旦
遵奉	禀承
上等	优等,高等
浪潮	海潮
手重	手轻
说黑道白	说长道短,说三道四,说黄道黑
烟消火灭	风流云散,烟消云散,云消雾散
行刺	暗害,暗杀,谋杀
上策	善策,良策
怎么	何如,奈何,如何,怎样,若何,如何是好
天长地久	坚定不移,坚韧不拔,天长日久,日久天长,海枯石烂,海誓山盟,矢志不移,山高水长
驱散	遣散
奇谋	神算,妙算
趁势	顺势
独裁	专制,专政,专横
敬仰	仰慕,佩服,向慕,尊敬,崇敬,敬佩,敬爱,敬重,景仰,瞻仰,钦佩,推重,爱戴,恭敬,推崇,热爱,尊重
娴静	沉静,文静
弯曲勉强	曲折
高楼大厦	高堂大厦
搜肠刮肚	苦思冥想
惺松	惺忪
翩翩起舞	载歌载舞
来龙去脉	前因后果
盗憎主人	盗怨主人
闯祸	惹祸,滋事,生事,肇事,闯事
代人受过	李代桃僵
不论	不管是谁,非论,不管,无论,岂论
无效	失效
诡秘莫测	神出鬼没
阳关大道	康庄大道
寒颤	寒战
恳	镌谕
鼎鼎有名	赫赫有名
保养	调养,颐养,珍爱,调治
答非所问	文不对题
各种各样	林林总总,各色各样,各式各样,形形色色
一日三餐	每日三餐
回籍	回乡,还乡
顶点	极点
保全	保存,顾全
勤能补拙	功在不舍
欢蹦乱跳	手舞足蹈
钳制	挟制,挟持,胁迫
蹩脚	糟糕
即位	登位,登基
文意	辞意
独出心裁	标新立异,自出机杼,别开生面,别出心裁,独具匠心
抚躬自问	扪心自问,反躬自省
卧薪尝胆	含垢忍辱,忍辱负重,发愤图强
犯科	犯法,犯罪,违法,违警,非法,不法
雅片	鸦片
念念不忘	朝思暮想,时刻不忘,念兹在兹,历历在目,耿耿于怀,记忆犹新,铭心镂骨,刻骨铭心
出手	下手,动手,脱手
傍友	清客,篾片
邂逅相遇	萍水相逢,不期而遇
即使	假使,即便,尽管,纵使,纵然
刁狡	机诈,狡猾
罪恶贯盈	恶贯满盈
定则	定章
缝隙	空隙,罅隙,裂缝,漏洞
财运	财气
手表	腕表
中间	中心,中央
和善	仁爱,和婉,和悦,和气,和蔼,善良,平和,慈悲,慈爱,慈祥,温和,温顺,良善,驯良,仁慈,和睦,和缓,温柔
明丽	明媚
鞭辟入里	入木三分
巧诈	奸巧,狡猾,险诈,奸险,奸诈,阴险
四海为家	到处为家,断梗飘萍,浪迹江湖,无家可归
望而却步	望而生畏
拙劣	笨拙,低劣,卑劣,粗劣,顽劣
戏班	梨园
愤愤	忿忿
巧语	巧言
倾盖之交	倾盖论交
暴动	动乱,暴乱
手忙脚乱	手足无措,束手无策,七手八脚,惊慌失措,颠三倒四,乱七八糟,慌手慌脚
劈面	劈头,对面,当面,扑面,迎面
求学	修业,肄业
锦囊妙计	神机妙算,袖中神算,万全之策,灵丹妙药
舆论	群情,舆情,言论,议论,言谈
积善	积德,行善
众目睽睽	大庭广众,稠人广众,公共场所,有目共睹,众目昭彰,令人瞩目
奏乐	吹打
称呼	名称,称号,称谓,称说
拉长	延长
谬论	愚见,谬误
细小	微小,微细,渺小,细微,藐小,轻微,轻细
猜拳	豁拳
狐疑不决	犹豫不决
剪烛西窗	同窗夜语
显而易见	不言而喻,彰明较著
破绽	漏洞,缺陷,罅隙,马脚
明镜高悬	秦镜高悬,洞烛奸邪
枷锁	桎梏,镣铐
全能	万能
贵重	名贵,宝贵,珍奇,珍贵
水磨工夫	磨杵成针
寰球	世界,全球
空名	浮名,虚名
秃子	光头,秃头,秃顶
拿获	捕获
防备	小心,戒备,抗御,提防,注意,留心,警戒,防卫,防守,防御,防护,防止,防范,预防,贯注,提神,留神,留意
实现	兑现,完成,实行,达成
学塾	书院,学堂,学宫,学校,私塾,黉舍
不中听	不入耳
伴侣	同伴,朋友,伙伴
开花	着花
惟恐	只怕,恐怕,生怕,唯恐
初步	初阶,发端,开头,开始,开端
民众	公众,大众,大家,群众
杂乱	凌乱,参差,杂沓,混乱,紊乱,繁芜,纷乱,芜杂,错乱,错杂,错落,零乱,狼藉,庞杂,交加
原封不动	依样葫芦,纹丝不动,维持原状,一成不变,依然故我
吩咐消磨	派遣
端赖	全靠
区别	不同,分别,分辨,分辩,判别,区分,差别,差异,识别,鉴别,分辨是非,辨别是非,辨别
报仇雪恨	以德报怨
吃一堑;长一智	重蹈覆辙
下列	以下
推拿	按摩
容纳	包含,包容
急救	抢救,拯救,援救
小肚鸡肠	鼠肚鸡肠,鼠腹鸡肠,睚眦必报
喘吁吁	喘嘘嘘
轻易	容易,简单,随便,方便,等闲,苟且,随意马虎,轻松
骸骨	尸骨,尸骸,死尸
破产	倒闭,停业
辩护	辩白,辩解
功德	好事
衣不蔽体	衣衫褴褛,鹑衣百结
兼而有之	同时兼备
挨家挨户	挨家逐户挨门挨户挨门逐户
发病	病发
妄言	假话,妄语,空话,谎话
浇薄	浇漓
舟师	水兵,水师
依人篱下	为人作嫁,寄人篱下
原料	质料,材料
八字没见一撇	八字没一撇
亲如手足	情同骨肉,情同手足
良庖	名厨
枝叶扶疏	枝繁叶茂
荒年	歉岁,灾年,凶年,歉年
怨愤	愤怒,愤恨,愤慨,愤懑
吼叫	呼啸
一拥而上	蜂拥而上,蜂拥而至
子夜	午夜,半夜,夜半,夜阑,更阑,深夜,深宵
麻烦	烦恼,烦杂,烦琐,费事,贫苦,困难
庞杂	凌乱,复杂,杂乱,混乱,繁杂,繁芜,芜杂,错乱,纷乱,错杂,零乱
权诈	奸诈,狡诈,险诈
凉快	清爽,凉爽,清凉,风凉
腰缠万贯	富甲一方,富可敌国,肥马轻裘
丈人	岳父
权略	机谋,权术,权谋
举世	全球,环球
丰腴	丰满,肥胖
附属国	殖民地
唯利是图	自私自利,利欲熏心
前线	前哨,前列,火线,前方
一对	一双
鄙谚	俗语,俚语
对证	对质
缓解	缓和,减缓
怫然作色	勃然变色
以逸待劳	养精蓄锐,一张一弛
稀世之宝	无价之宝
带同	携同
恼恨	怨恨,愤恨,憎恨,憎恶
弃旧容新	吐故纳新
目眩神摇	目眩魂摇
忏悔	后悔,懊悔,追悔,反悔
差距	差异
透辟	透彻,透澈
公开场合	公共场所,大庭广众
过多	过量
过夜	住宿,歇宿,止宿,留宿
独居	茕居
乘机	伺机
广阔	壮阔,宽大,宽广,宽敞,宽阔,广博,广大,开阔,无边,空阔,辽阔,广漠,空旷,宏大
专有	特有,私有
再版	重版
排斥	排挤,摈弃,摈斥,消除,摒除
过失	不对,偏差,差池,差错,纰谬,舛讹,舛误,舛错,谬误,过错,错误,毛病
讨饶	告饶,求饶
钱粮	赋税
通盘	全豹,全体,全数,全盘,全部,全面,完全,悉数,所有,整个,统统
隔阂	隔膜
发楞	发愣
优裕	充足,富足
处女	童贞
这种	这类
看不起	小看,歧视,渺视,漠视,看轻,藐视,轻视,鄙夷,鄙视
纵虎归山	养虎遗患
祸发齿牙	祸从口出,多言招悔
好手	内行,在行,妙手,熟手,老手,能手,高手
餐风饮露	披星带月,戴月披星,餐风宿露,披星戴月
笔记	札记,条记
须生	老生
疑窦	疑点
存心不良	别有用心,居心叵测,心怀鬼胎,心怀叵测,包藏祸心
刊载	刊登,登载
捐钱	捐款
回音	覆信
糟踏	践踏,糟塌
雀跃	喜悦,喜跃,开心,忻悦,愉快,欣喜,高兴,欣忭
苗条	修长,纤细
托咐	托付
冰片	龙脑
为富不仁	心狠手辣,土豪劣绅
缠绵悱恻	悱恻缠绵
诋毁	中伤,毁谤,诬蔑,诽谤,造谣,离间,漫骂
事半功倍	一举两得,一本万利
叹气	叹息,嗟叹,太息
细读	精读
茹苦含辛	千辛万苦如牛负重
乐不可支	兴高采烈,手舞足蹈,其乐无穷
恭候	等待
采集	搜罗,搜集,收集,采撷,收罗
十拿九稳	安若泰山,稳操胜算,轻而易举,易如反掌,瓮中捉鳖,万无一失,稳操胜券,探囊取物
划分	区分,分别
删节	删省
迸发	爆发
玉石俱焚	同归于尽,两败俱伤
奔波	奔忙,奔走
协作	互助,协调,合作,合营,团结,配合
舛错	过失,不对,差池,差错,纰谬,舛讹,舛误,谬误,过错,毛病,错误
参半	各半
计策	计谋
无人之境	荒无人烟
秣马厉兵	秣马利兵,披坚执锐
绝世超伦	绝无仅有
含沙射影	旁敲侧击,血口喷人,暗箭伤人,隐晦曲折,光明正大,拐弯抹角,指桑骂槐,含血喷人,架词诬控
英明	睿智,贤明
拾遗	拾获,拾得
徒有其名	有名无实
绑架	勒索
才华	才力,才干,才智,才气,才略,才能,本领,材干,能力,才调,才具
缮治	补葺,修缮,修理
妙龄少女	二八佳人
求助	告急,乞助,求援
坎坷	侘傺,崎岖,曲折,荆棘,险阻
投降	倒戈,屈服,投诚,降服,屈膝投降,降服佩服,纳降,屈从
剑拔弩张	一触即发
偷偷	悄悄,暗暗
混蛋	王八蛋,忘八
春风化雨	化雨春风
犯讳	犯忌
各半	参半
困乏	困倦,疲乏,疲劳
将来	他日,未来,来日
未来	将来,他日,异日,来日
访问	探问,拜候,拜望,拜访,拜谒,探访,看望,考察,访谒,走访,探望,会见,接见
外子	丈夫,夫君,良人
毛遂自荐	自我介绍,自告奋勇,自我吹嘘
引退	告退,解职,退职,辞职
元配	发妻,正室,德配
华盖云集	门庭若市
欺负	侮辱,凌虐,凌辱,欺侮,欺凌,欺压,蹂躏,虐待
出口成章	倚马可待,琅琅上口,七步之才,下笔成章
遣散	驱散,斥逐,解散,赶走,驱逐
铁娘子	女强人
浑沌	混沌
宽绰	裕如,余裕,充裕,宽大,宽敞,宽裕,宽阔,富裕,阔气,阔绰
疲倦	劳累,困倦,委顿,怠倦,疲乏,疲劳,疲困,疲惫,疲钝,疲顿,倦怠,委靡
猜忌	怀疑,狐疑,猜疑,疑忌
联翩	连翩
很多多少	好多
搬动	移动,挪动转移,挪动,转移
拾得	拾遗
合算	划算
识别	区别,辨别是非,判别,辨别,辨认,鉴别,鉴识
无可救药	病入膏肓,不可救药
轻浅	轻盈
不仅	不光,不单,不只,不但
大北	大败
核办	查办,查究
莽撞	冒失,卤莽,粗莽,草率,鲁莽,冒昧,轻率
轻浮	佻薄,佻达,放荡,浮夸,浮滑,浮薄,轻佻,轻狂,轻薄
乱撞	乱闯
衔恨	怀恨,抱怨,挟恨
出谋献策	出谋划策
崭露锋芒	崭露头角,显露头角
精明	干练,聪明,能干,夺目,才干
趋向	趋势
桃李满天下	遍布天涯
复古	复旧,怀旧
悬挂	吊挂
极新	崭新
后生可畏	少年老成,大器晚成
行止	去向,去处
尊崇	尊敬,尊重,崇拜,崇敬,恭敬,拥戴,敬服,敬爱,敬重,爱戴,推崇,爱崇
授人以柄	倒持泰阿
重担	重任
互通有无	投桃报李
真个	端的
巴不得	恨不得
强身健体	强体健身
嫌贫爱富	欺贫爱富
栽植	培植,栽培,栽种,种植
南风	熏风
异样	异常
高抬贵手	手下留情
矫捷	壮健,敏捷,灵便,灵巧,灵敏,灵活,矫健,活络,灵动
雕落	雕零
相形见绌	相形失色,黯然失色,小巫见大巫,不可企及
狗彘不若	狗苟蝇营,猪狗不如
朦胧	含混,模糊,混沌,隐约,昏黄
土鸡瓦犬	土牛木马,石鼓沙田
收藏	珍藏,保藏
难办	棘手
活门	活路,生路
报道	报导
胡里胡涂	浑浑噩噩
闹饥荒	打饥荒
鼓起	兴起
太阿倒持	雀巢鸠占,反客为主,反宾为主,喧宾夺主
先斩后奏	先礼后兵
杂税	冗赋
俄然	突然
新来乍到	下车伊始
剜肉补疮	饮鸩止渴,剜肉医疮
改变方式	改弦易辙,改弦更张
